,User Name,User Image,User Following,Users Followers,User Likes,User About,Post Link,Average Engagement
0,charlidamelio,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/337bc1be6d3b44a568234119830c8ea3~c5_100x100.jpeg?x-expires=1675314000&x-signature=dryjXDS90010ACO04Sb305Z0WpA%3D,1300,149700000.0,11300000000.0,No bio yet.,https://www.tiktok.com/@charlidamelio/video/7194542025906212138,0.015364061456245824
1,charlidamelio,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/337bc1be6d3b44a568234119830c8ea3~c5_100x100.jpeg?x-expires=1675314000&x-signature=dryjXDS90010ACO04Sb305Z0WpA%3D,1300,149700000.0,11300000000.0,No bio yet.,https://www.tiktok.com/@charlidamelio/video/7193476667048725803,0.04074816299265197
2,charlidamelio,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/337bc1be6d3b44a568234119830c8ea3~c5_100x100.jpeg?x-expires=1675314000&x-signature=dryjXDS90010ACO04Sb305Z0WpA%3D,1300,149700000.0,11300000000.0,No bio yet.,https://www.tiktok.com/@charlidamelio/video/7191243128291069226,0.0781563126252505
3,charlidamelio,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/337bc1be6d3b44a568234119830c8ea3~c5_100x100.jpeg?x-expires=1675314000&x-signature=dryjXDS90010ACO04Sb305Z0WpA%3D,1300,149700000.0,11300000000.0,No bio yet.,https://www.tiktok.com/@charlidamelio/video/7191191305983200554,0.06279225116900468
4,charlidamelio,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/337bc1be6d3b44a568234119830c8ea3~c5_100x100.jpeg?x-expires=1675314000&x-signature=dryjXDS90010ACO04Sb305Z0WpA%3D,1300,149700000.0,11300000000.0,No bio yet.,https://www.tiktok.com/@charlidamelio/video/7191163663636663598,0.04008016032064128
5,charlidamelio,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/337bc1be6d3b44a568234119830c8ea3~c5_100x100.jpeg?x-expires=1675314000&x-signature=dryjXDS90010ACO04Sb305Z0WpA%3D,1300,149700000.0,11300000000.0,No bio yet.,https://www.tiktok.com/@charlidamelio/video/7190830091914562858,0.03807615230460922
6,charlidamelio,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/337bc1be6d3b44a568234119830c8ea3~c5_100x100.jpeg?x-expires=1675314000&x-signature=dryjXDS90010ACO04Sb305Z0WpA%3D,1300,149700000.0,11300000000.0,No bio yet.,https://www.tiktok.com/@charlidamelio/video/7190486830058523950,0.03406813627254509
7,charlidamelio,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/337bc1be6d3b44a568234119830c8ea3~c5_100x100.jpeg?x-expires=1675314000&x-signature=dryjXDS90010ACO04Sb305Z0WpA%3D,1300,149700000.0,11300000000.0,No bio yet.,https://www.tiktok.com/@charlidamelio/video/7189869382556896558,0.14362057448229792
8,charlidamelio,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/337bc1be6d3b44a568234119830c8ea3~c5_100x100.jpeg?x-expires=1675314000&x-signature=dryjXDS90010ACO04Sb305Z0WpA%3D,1300,149700000.0,11300000000.0,No bio yet.,https://www.tiktok.com/@charlidamelio/video/7189843911811124522,0.06947227788911156
9,charlidamelio,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/337bc1be6d3b44a568234119830c8ea3~c5_100x100.jpeg?x-expires=1675314000&x-signature=dryjXDS90010ACO04Sb305Z0WpA%3D,1300,149700000.0,11300000000.0,No bio yet.,https://www.tiktok.com/@charlidamelio/video/7189567650169687339,0.10888443553774214
